Category,ID,Latitude,Longitude,Date,Orbit Number,Build ID,Scene ID,ECO4WUE_001_Water_Use_Efficiency_WUEavg
NMEG,US-Mpj,34.4385,-106.2377,2018-07-29 00:10:30 UTC,345,601,1,0.7031632
NMEG,US-Mpj,34.4385,-106.2377,2018-08-04 21:20:21 UTC,452,601,3,0.7588125
NMEG,US-Mpj,34.4385,-106.2377,2018-08-07 20:20:54 UTC,498,601,3,0.7359691
NMEG,US-Mpj,34.4385,-106.2377,2018-08-13 01:44:37 UTC,579,601,14,0.0273915
NMEG,US-Mpj,34.4385,-106.2377,2018-08-14 17:30:33 UTC,605,601,3,0.3665336
NMEG,US-Mpj,34.4385,-106.2377,2018-08-19 22:53:50 UTC,686,601,14,0.4020705
NMEG,US-Mpj,34.4385,-106.2377,2018-08-24 13:39:49 UTC,758,601,3,0.2307667
NMEG,US-Mpj,34.4385,-106.2377,2018-09-08 15:13:02 UTC,992,601,7,0.5917137
NMEG,US-Mpj,34.4385,-106.2377,2018-09-27 00:18:34 UTC,1278,601,3,0.4885893
NMEG,US-Mpj,34.4385,-106.2377,2019-01-27 23:32:30 UTC,3190,601,4,0.456248
NMEG,US-Mpj,34.4385,-106.2377,2019-02-18 22:28:03 UTC,3531,601,6,0.3112997
NMEG,US-Mpj,34.4385,-106.2377,2019-02-25 19:41:50 UTC,3638,601,7,0.4644978
NMEG,US-Mpj,34.4385,-106.2377,2019-03-04 16:58:09 UTC,3745,601,7,0.5574272
NMEG,US-Mpj,34.4385,-106.2377,2019-05-26 00:21:06 UTC,5024,601,4,0.6342304
NMEG,US-Mpj,34.4385,-106.2377,2019-05-28 23:29:46 UTC,5070,601,5,0.7490711
NMEG,US-Mpj,34.4385,-106.2377,2019-06-05 20:06:48 UTC,5192,601,4,0.8419299
NMEG,US-Mpj,34.4385,-106.2377,2019-06-09 18:25:59 UTC,5253,601,2,0.570617
NMEG,US-Mpj,34.4385,-106.2377,2019-06-12 17:33:43 UTC,5299,601,2,0.5499305
NMEG,US-Mpj,34.4385,-106.2377,2019-06-16 15:52:18 UTC,5360,601,2,0.5907939
