product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.2,2.1,142.9,1.9,0.4945,0.0618,0.2485,289,289,100,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,2.2,152.2999,2,0.527,0.0654,0.2558,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002201,7/20/02,0.2,1.2,148,1,0.5121,0.0434,0.2084,289,289,100,2.01515E+12,0.8
MCD15A2H,Lai_500m,A2002209,7/28/02,0.2,1.3,130.1001,1.1,0.4502,0.0247,0.1572,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002217,8/5/02,0.4,2,196.4,1.6,0.6796,0.0368,0.1918,289,289,100,2.01515E+12,1.1
MCD15A2H,Lai_500m,A2002225,8/13/02,0.3,1.4,180.6,1.1,0.6249,0.0209,0.1446,289,289,100,2.01515E+12,0.8
MCD15A2H,Lai_500m,A2002233,8/21/02,0.3,1.1,174.8999,0.8,0.6052,0.022,0.1484,289,289,100,2.01515E+12,0.8
MCD15A2H,Lai_500m,A2002241,8/29/02,0.3,1.3,188.6,1,0.6526,0.023,0.1516,289,289,100,2.01515E+12,0.8
MCD15A2H,Lai_500m,A2002249,9/6/02,0.3,1.1,196.2999,0.8,0.6792,0.0235,0.1533,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2002257,9/14/02,0.4,1.6,200.5998,1.2,0.6941,0.0235,0.1534,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002265,9/22/02,0.4,1,187.4998,0.6,0.6488,0.0105,0.1023,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002273,9/30/02,0.4,1,183.3999,0.6,0.6346,0.009,0.0951,289,289,100,2.01515E+12,0.7
