product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.2,0.3,59.2001,0.1,0.2048,0.0005,0.0215,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,0.3,66.7,0.1,0.2308,0.0021,0.0462,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002201,7/20/02,0.2,0.3,58.7001,0.1,0.2031,0.0003,0.0174,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002209,7/28/02,0.2,0.4,64.8001,0.2,0.2242,0.0019,0.0436,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002217,8/5/02,0.2,0.6,97.8001,0.4,0.3384,0.0063,0.0794,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002225,8/13/02,0.2,0.6,99.8001,0.4,0.3453,0.0068,0.0827,289,289,100,2.01515E+12,0.4
MCD15A2H,Lai_500m,A2002233,8/21/02,0.2,0.6,85,0.4,0.2941,0.0071,0.084,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002241,8/29/02,0.2,0.6,89.4,0.4,0.3093,0.008,0.0897,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002249,9/6/02,0.2,0.8,94.2001,0.6,0.326,0.0094,0.0969,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002257,9/14/02,0.2,1.1,124.4,0.9,0.4304,0.0147,0.1213,289,289,100,2.01515E+12,0.4
MCD15A2H,Lai_500m,A2002265,9/22/02,0.2,0.8,126.2,0.6,0.4367,0.0115,0.107,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002273,9/30/02,0.2,0.9,133.4,0.7,0.4616,0.011,0.105,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002281,10/8/02,0.2,0.7,111.8,0.5,0.3869,0.0124,0.1111,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002289,10/16/02,0.2,0.7,112.8001,0.5,0.3903,0.0104,0.1018,289,289,100,2.01515E+12,0.4
MCD15A2H,Lai_500m,A2002297,10/24/02,0.2,0.5,84.0001,0.3,0.2907,0.0065,0.0808,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002305,11/1/02,0.2,0.5,70.4,0.3,0.2436,0.0047,0.0689,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002313,11/9/02,0.1,0.3,47.7001,0.2,0.1651,0.0034,0.0587,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2002321,11/17/02,0.1,0.3,47.5001,0.2,0.1644,0.0027,0.052,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2002329,11/25/02,0.1,0.3,37.3001,0.2,0.1291,0.0021,0.0462,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2002337,12/3/02,0.1,0.3,39.7,0.2,0.1374,0.0031,0.0557,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002345,12/11/02,0.1,0.2,31.0001,0.1,0.1073,0.0007,0.026,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2002353,12/19/02,0.1,0.3,35.6001,0.2,0.1232,0.0019,0.043,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2002361,12/27/02,0.1,0.3,32.0001,0.2,0.1107,0.001,0.032,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2003001,1/1/03,0.1,0.3,32.0001,0.2,0.1107,0.001,0.032,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2003009,1/9/03,0.1,0.3,33.0001,0.2,0.1142,0.0013,0.0359,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2003017,1/17/03,0.1,0.2,29.8001,0.1,0.1031,0.0003,0.0174,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2003025,1/25/03,0.1,0.2,29.5001,0.1,0.1021,0.0002,0.0143,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2003033,2/2/03,0.1,0.3,34.5001,0.2,0.1194,0.0017,0.0412,289,289,100,2.01515E+12,0.1
MCD15A2H,Lai_500m,A2003041,2/10/03,0.1,0.3,55.1001,0.2,0.1907,0.0012,0.0345,289,289,100,2.01516E+12,0.1
MCD15A2H,Lai_500m,A2003049,2/18/03,0.1,0.3,50.5001,0.2,0.1747,0.0022,0.0473,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003057,2/26/03,0.1,0.3,51.8001,0.2,0.1792,0.0018,0.0422,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003065,3/6/03,0.1,0.3,55.7001,0.2,0.1927,0.0007,0.0273,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003073,3/14/03,0.1,0.5,46.4001,0.4,0.1606,0.0034,0.0585,289,289,100,2.01516E+12,0.1
MCD15A2H,Lai_500m,A2003081,3/22/03,0.1,0.5,58.2001,0.4,0.2014,0.0004,0.0203,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003089,3/30/03,0.2,0.3,58.5001,0.1,0.2024,0.0002,0.0154,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003097,4/7/03,0.2,0.4,58.4001,0.2,0.2021,0.0003,0.0165,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003105,4/15/03,0.2,0.4,59.6001,0.2,0.2062,0.0007,0.0256,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003113,4/23/03,0.2,0.3,58.2001,0.1,0.2014,0.0001,0.0117,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003121,5/1/03,0.2,0.3,57.9001,0.1,0.2003,0,0.0059,289,289,100,2.01516E+12,0.2
