product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.2,0.3,58.1001,0.1,0.201,0.0001,0.0101,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,0.5,65.1001,0.3,0.2253,0.0021,0.0458,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002201,7/20/02,0.2,0.3,59.2001,0.1,0.2048,0.0005,0.0215,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002209,7/28/02,0.2,0.4,61.6001,0.2,0.2131,0.0012,0.0348,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002217,8/5/02,0.2,0.6,79.3,0.4,0.2744,0.0037,0.0609,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002225,8/13/02,0.2,0.5,82.4,0.3,0.2851,0.0036,0.0596,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002233,8/21/02,0.2,0.5,71.6,0.3,0.2478,0.0037,0.0612,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002241,8/29/02,0.2,0.4,76.9999,0.2,0.2664,0.003,0.0547,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002249,9/6/02,0.2,0.6,80.3,0.4,0.2779,0.0048,0.0696,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002257,9/14/02,0.2,0.7,100.0002,0.5,0.346,0.009,0.0948,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002265,9/22/02,0.2,0.5,95.0002,0.3,0.3287,0.0061,0.0783,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002273,9/30/02,0.2,0.5,100.5002,0.3,0.3478,0.0068,0.0824,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002281,10/8/02,0.2,0.5,84.7001,0.3,0.2931,0.0059,0.0768,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002289,10/16/02,0.2,0.5,90.8002,0.3,0.3142,0.0041,0.0637,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002297,10/24/02,0.2,0.7,73.5,0.5,0.2543,0.0064,0.0802,289,289,100,2.01515E+12,0.3
MCD15A2H,Lai_500m,A2002305,11/1/02,0.2,0.5,67,0.3,0.2318,0.0033,0.0572,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002313,11/9/02,0.1,0.3,50.4001,0.2,0.1744,0.002,0.0444,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002321,11/17/02,0.1,0.2,51.4001,0.1,0.1779,0.0017,0.0415,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002329,11/25/02,0.1,0.2,38.6,0.1,0.1336,0.0022,0.0472,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002337,12/3/02,0.1,0.3,36.6,0.2,0.1266,0.0022,0.0472,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002345,12/11/02,0.1,0.2,30.2001,0.1,0.1045,0.0004,0.0207,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002353,12/19/02,0.1,0.3,34.3,0.2,0.1187,0.0017,0.0407,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2002361,12/27/02,0.1,0.2,32.1001,0.1,0.1111,0.001,0.0314,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2003001,1/1/03,0.1,0.2,32.1001,0.1,0.1111,0.001,0.0314,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2003009,1/9/03,0.1,0.3,33.7001,0.2,0.1166,0.0018,0.0424,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2003017,1/17/03,0.1,0.2,30.4001,0.1,0.1052,0.0005,0.0222,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2003025,1/25/03,0.1,0.2,29.6001,0.1,0.1024,0.0002,0.0154,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2003033,2/2/03,0.1,0.3,42.3,0.2,0.1464,0.0026,0.0512,289,289,100,2.01515E+12,0.2
MCD15A2H,Lai_500m,A2003041,2/10/03,0.1,1.1,60.5001,1,0.2093,0.0066,0.0812,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003049,2/18/03,0.1,0.2,56.1001,0.1,0.1941,0.0006,0.0235,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003057,2/26/03,0.1,0.7,57.1001,0.6,0.1976,0.0028,0.0529,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003065,3/6/03,0.1,0.2,57.6001,0.1,0.1993,0.0001,0.0083,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003073,3/14/03,0.1,0.3,50.8001,0.2,0.1758,0.0019,0.0436,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003081,3/22/03,0.2,0.3,58.1001,0.1,0.201,0.0001,0.0101,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003089,3/30/03,0.2,0.3,57.9001,0.1,0.2003,0,0.0059,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003097,4/7/03,0.2,0.3,58.0001,0.1,0.2007,0.0001,0.0083,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003105,4/15/03,0.2,0.3,57.9001,0.1,0.2003,0,0.0059,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003113,4/23/03,0.2,0.3,57.9001,0.1,0.2003,0,0.0059,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003121,5/1/03,0.2,0.3,58.2001,0.1,0.2014,0.0001,0.0117,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003129,5/9/03,0.2,0.4,64.3001,0.2,0.2225,0.0018,0.0426,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003137,5/17/03,0.2,0.3,62.3001,0.1,0.2156,0.0013,0.0363,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003145,5/25/03,0.2,0.5,65.4,0.3,0.2263,0.0021,0.0463,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003153,6/2/03,0.2,0.6,61.6001,0.4,0.2131,0.0016,0.0395,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003161,6/10/03,0.2,0.5,66.9,0.3,0.2315,0.0028,0.0534,289,289,100,2.01516E+12,0.2
MCD15A2H,Lai_500m,A2003169,6/18/03,0.2,0.5,67.0001,0.3,0.2318,0.0026,0.0508,289,289,100,2.01516E+12,0.2
