product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.3,4.5,361.9999,4.2,1.2746,0.514,0.7169,289,284,98.27,2.01515E+12,1
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,2.7,348.8,2.5,1.2153,0.2302,0.4798,289,287,99.31,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002201,7/20/02,0.2,5.1,420.7999,4.9,1.4869,0.2735,0.523,289,283,97.92,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002209,7/28/02,0.2,2.9,341.1999,2.7,1.2318,0.1821,0.4267,289,277,95.85,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002217,8/5/02,0.8,2.7,497.7998,1.9,1.7225,0.1027,0.3205,289,289,100,2.01515E+12,1.9
MCD15A2H,Lai_500m,A2002225,8/13/02,0.9,3,455.7999,2.1,1.5772,0.116,0.3406,289,289,100,2.01515E+12,1.6
MCD15A2H,Lai_500m,A2002233,8/21/02,0.7,5.6,422.4997,4.9,1.4619,0.2572,0.5071,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002241,8/29/02,0.5,2.6,394.5999,2.1,1.3749,0.165,0.4062,289,287,99.31,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002249,9/6/02,0.1,2.9,183.2,2.8,0.9206,0.183,0.4278,289,199,68.86,2.01515E+12,F
MCD15A2H,Lai_500m,A2002257,9/14/02,0.7,2.8,379.8999,2.1,1.3145,0.1988,0.4458,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002265,9/22/02,0.5,4.8,397.9001,4.3,1.3768,0.3439,0.5864,289,289,100,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002273,9/30/02,0.5,4.4,378.2999,3.9,1.309,0.3615,0.6013,289,289,100,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002281,10/8/02,0.5,1.6,307.6002,1.1,1.0644,0.0968,0.3112,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002289,10/16/02,0.3,1.6,238.8999,1.3,0.8266,0.0892,0.2987,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002297,10/24/02,0.2,1.6,189.4,1.4,0.6646,0.0796,0.282,289,285,98.62,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2002305,11/1/02,0.2,1.5,175.3001,1.3,0.6066,0.0807,0.284,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002313,11/9/02,0.1,1.2,139.4001,1.1,0.4824,0.0546,0.2337,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002321,11/17/02,0.2,1.3,187.9002,1.1,0.6502,0.0918,0.3031,289,289,100,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2002329,11/25/02,0.2,1.3,187.9002,1.1,0.6502,0.0897,0.2995,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002337,12/3/02,0.1,0.8,84.7999,0.7,0.4097,0.033,0.1815,289,207,71.63,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002345,12/11/02,0.1,2,149.6,1.9,0.6679,0.1312,0.3622,289,224,77.51,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002353,12/19/02,0.1,5.4,121,5.3,0.6722,0.8386,0.9157,289,180,62.28,2.01515E+12,F
MCD15A2H,Lai_500m,A2002361,12/27/02,0.1,3,136.4,2.9,0.6654,0.2048,0.4525,289,205,70.93,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2003001,1/1/03,0.1,3,150.5,2.9,0.7099,0.2421,0.4921,289,212,73.36,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2003009,1/9/03,0.1,1.5,139.8,1.4,0.6626,0.0851,0.2917,289,211,73.01,2.01515E+12,F
MCD15A2H,Lai_500m,A2003017,1/17/03,0.1,1.6,147.5002,1.5,0.612,0.0891,0.2985,289,241,83.39,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2003025,1/25/03,0.1,1.2,151.8003,1.1,0.5253,0.0921,0.3035,289,289,100,2.01515E+12,0.4
MCD15A2H,Lai_500m,A2003033,2/2/03,0.1,2.3,168.9001,2.2,0.5844,0.1029,0.3208,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2003041,2/10/03,0.2,1.6,160.9999,1.4,0.5571,0.0836,0.2891,289,289,100,2.01516E+12,0.7
MCD15A2H,Lai_500m,A2003049,2/18/03,0.1,1.5,45.2,1.4,0.345,0.0645,0.2539,289,131,45.33,2.01516E+12,F
MCD15A2H,Lai_500m,A2003057,2/26/03,0.1,0.5,12.8,0.4,0.1803,0.0083,0.0913,289,71,24.57,2.01516E+12,F
MCD15A2H,Lai_500m,A2003065,3/6/03,0.1,1.1,84.2999,1,0.3618,0.0463,0.2152,289,233,80.62,2.01516E+12,F
MCD15A2H,Lai_500m,A2003073,3/14/03,0.1,0.9,41.5,0.8,0.2594,0.0299,0.173,289,160,55.36,2.01516E+12,F
MCD15A2H,Lai_500m,A2003081,3/22/03,0.1,1.2,97.1999,1.1,0.4101,0.0618,0.2485,289,237,82.01,2.01516E+12,F
MCD15A2H,Lai_500m,A2003089,3/30/03,0.2,1.6,155.5002,1.4,0.5634,0.0712,0.2669,289,276,95.5,2.01516E+12,0.5
MCD15A2H,Lai_500m,A2003097,4/7/03,0.2,1.5,183.0999,1.3,0.6447,0.0884,0.2973,289,284,98.27,2.01516E+12,0.4
MCD15A2H,Lai_500m,A2003105,4/15/03,0.2,2.6,218.4,2.4,0.7663,0.1241,0.3522,289,285,98.62,2.01516E+12,0.7
MCD15A2H,Lai_500m,A2003113,4/23/03,0.3,1.5,235.1,1.2,0.8278,0.0823,0.2869,289,284,98.27,2.01516E+12,0.7
MCD15A2H,Lai_500m,A2003121,5/1/03,0.3,1.7,268.3,1.4,0.9284,0.1006,0.3171,289,289,100,2.01516E+12,1.2
MCD15A2H,Lai_500m,A2003129,5/9/03,0.3,1.8,280.6001,1.5,0.9709,0.0844,0.2905,289,289,100,2.01516E+12,1.1
MCD15A2H,Lai_500m,A2003137,5/17/03,0.3,4,279.9002,3.7,1.0032,0.1427,0.3777,289,279,96.54,2.01516E+12,1.3
MCD15A2H,Lai_500m,A2003145,5/25/03,0.3,3.3,310.6004,3,1.0747,0.1508,0.3883,289,289,100,2.01516E+12,1
MCD15A2H,Lai_500m,A2003153,6/2/03,0.5,4.4,437.7,3.9,1.5145,0.3009,0.5485,289,289,100,2.01516E+12,1.3
MCD15A2H,Lai_500m,A2003161,6/10/03,0.5,2.8,412.8003,2.3,1.4284,0.256,0.506,289,289,100,2.01516E+12,1.4
MCD15A2H,Lai_500m,A2003169,6/18/03,0.7,2.5,446.9002,1.8,1.5464,0.1999,0.4471,289,289,100,2.01516E+12,1.7
MCD15A2H,Lai_500m,A2003177,6/26/03,0.3,6,400.0997,5.7,1.3989,0.3372,0.5807,289,286,98.96,2.01516E+12,1
MCD15A2H,Lai_500m,A2003185,7/4/03,0.7,3.5,422.0001,2.8,1.4602,0.2656,0.5154,289,289,100,2.01516E+12,1.4
MCD15A2H,Lai_500m,A2003193,7/12/03,0.5,2.8,418.4004,2.3,1.4478,0.3198,0.5655,289,289,100,2.01508E+12,1.6
MCD15A2H,Lai_500m,A2003201,7/20/03,0.3,3.9,412.0004,3.6,1.461,0.4898,0.6998,289,282,97.58,2.01508E+12,F
MCD15A2H,Lai_500m,A2003209,7/28/03,0.4,3.2,404.6001,2.8,1.4049,0.2711,0.5207,289,288,99.65,2.01508E+12,1.7
MCD15A2H,Lai_500m,A2003217,8/5/03,0.5,3.9,405.4003,3.4,1.4635,0.297,0.545,289,277,95.85,2.01508E+12,F
MCD15A2H,Lai_500m,A2003225,8/13/03,0.3,5.7,397.7,5.4,1.3857,0.3805,0.6168,289,287,99.31,2.01508E+12,0.9
MCD15A2H,Lai_500m,A2003233,8/21/03,0.1,3.1,311.8001,3,1.1256,0.24,0.4899,289,277,95.85,2.01508E+12,0.5
MCD15A2H,Lai_500m,A2003241,8/29/03,0.9,5.5,630.0997,4.6,2.1803,0.5164,0.7186,289,289,100,2.01508E+12,2.9
MCD15A2H,Lai_500m,A2003249,9/6/03,0.9,6.4,581.9,5.5,2.0135,0.7656,0.875,289,289,100,2.01508E+12,2.3
MCD15A2H,Lai_500m,A2003257,9/14/03,1,3.3,481.1001,2.3,1.6647,0.1974,0.4443,289,289,100,2.01508E+12,1.8
MCD15A2H,Lai_500m,A2003265,9/22/03,0.8,2.7,448.0001,1.9,1.5502,0.213,0.4615,289,289,100,2.01508E+12,2.2
MCD15A2H,Lai_500m,A2003273,9/30/03,0.6,2.5,369.5,1.9,1.2785,0.1546,0.3931,289,289,100,2.01508E+12,1.4
MCD15A2H,Lai_500m,A2003281,10/8/03,0.7,3,374.6999,2.3,1.2965,0.1549,0.3935,289,289,100,2.01508E+12,1.6
MCD15A2H,Lai_500m,A2003289,10/16/03,0.5,1.6,268.5003,1.1,0.9291,0.0691,0.2628,289,289,100,2.01508E+12,1.1
MCD15A2H,Lai_500m,A2003297,10/24/03,0.3,1.3,247.2,1,0.8554,0.0695,0.2637,289,289,100,2.01508E+12,1.2
MCD15A2H,Lai_500m,A2003305,11/1/03,0.3,2,227.3001,1.7,0.7865,0.0708,0.2661,289,289,100,2.0151E+12,1.1
MCD15A2H,Lai_500m,A2003313,11/9/03,0.3,1.5,227.6999,1.2,0.7879,0.094,0.3066,289,289,100,2.01508E+12,1.2
MCD15A2H,Lai_500m,A2003321,11/17/03,0.1,4.5,191.0002,4.4,0.6609,0.2157,0.4645,289,289,100,2.01508E+12,0.5
MCD15A2H,Lai_500m,A2003329,11/25/03,0.3,1.7,214.9001,1.4,0.7436,0.1211,0.348,289,289,100,2.01508E+12,1
MCD15A2H,Lai_500m,A2003337,12/3/03,0.2,1.4,193.7002,1.2,0.6702,0.1,0.3163,289,289,100,2.01508E+12,0.6
MCD15A2H,Lai_500m,A2003345,12/11/03,0.1,3.4,175.4,3.3,0.8556,0.2022,0.4496,289,205,70.93,2.01508E+12,F
MCD15A2H,Lai_500m,A2003353,12/19/03,0.1,4.4,181.2001,4.3,0.6358,0.2495,0.4995,289,285,98.62,2.01508E+12,0.5
MCD15A2H,Lai_500m,A2003361,12/27/03,0.1,1.4,77,1.3,0.4477,0.0676,0.26,289,172,59.52,2.01508E+12,F
MCD15A2H,Lai_500m,A2004001,1/1/04,0.1,1.7,147.8002,1.6,0.5394,0.123,0.3507,289,274,94.81,2.01509E+12,0.5
MCD15A2H,Lai_500m,A2004009,1/9/04,0.1,2.4,172,2.3,0.5952,0.1104,0.3323,289,289,100,2.01509E+12,0.6
MCD15A2H,Lai_500m,A2004017,1/17/04,0.1,1.4,146.5001,1.3,0.5105,0.0759,0.2755,289,287,99.31,2.01509E+12,0.5
MCD15A2H,Lai_500m,A2004025,1/25/04,0.1,1.2,101.8999,1.1,0.474,0.0536,0.2314,289,215,74.39,2.01509E+12,0.5
MCD15A2H,Lai_500m,A2004033,2/2/04,0.1,5.5,86.8,5.4,0.6028,0.7319,0.8555,289,144,49.83,2.01509E+12,F
MCD15A2H,Lai_500m,A2004041,2/10/04,0.1,2,118.3,1.9,0.5975,0.099,0.3147,289,198,68.51,2.01509E+12,F
MCD15A2H,Lai_500m,A2004049,2/18/04,0.1,1,37.6,0.9,0.2892,0.0437,0.2091,289,130,44.98,2.01509E+12,F
MCD15A2H,Lai_500m,A2004057,2/26/04,0.1,0.4,9.3,0.3,0.1691,0.0112,0.106,289,55,19.03,2.01509E+12,F
MCD15A2H,Lai_500m,A2004065,3/5/04,0.1,0.9,61,0.8,0.3653,0.0365,0.1911,289,167,57.79,2.01509E+12,F
MCD15A2H,Lai_500m,A2004073,3/13/04,0.1,1,95.9999,0.9,0.4364,0.0463,0.2152,289,220,76.12,2.01509E+12,F
MCD15A2H,Lai_500m,A2004081,3/21/04,0.2,1.6,165.1999,1.4,0.6074,0.1021,0.3195,289,272,94.12,2.01509E+12,F
MCD15A2H,Lai_500m,A2004089,3/29/04,0.2,1.3,191.1999,1.1,0.6685,0.0912,0.3021,289,286,98.96,2.01509E+12,F
MCD15A2H,Lai_500m,A2004097,4/6/04,0.1,1.1,69.3,1,0.35,0.0403,0.2007,289,198,68.51,2.01509E+12,F
MCD15A2H,Lai_500m,A2004105,4/14/04,0.1,3.3,203.8998,3.2,0.7308,0.1568,0.396,289,279,96.54,2.01509E+12,0.4
MCD15A2H,Lai_500m,A2004113,4/22/04,0.2,1.9,218.3999,1.7,0.769,0.1052,0.3244,289,284,98.27,2.01509E+12,0.6
MCD15A2H,Lai_500m,A2004121,4/30/04,0.3,2,250.7,1.7,0.8675,0.0988,0.3143,289,289,100,2.01509E+12,1
MCD15A2H,Lai_500m,A2004129,5/8/04,0.4,2.2,316.4999,1.8,1.0952,0.1079,0.3285,289,289,100,2.01509E+12,1.4
MCD15A2H,Lai_500m,A2004137,5/16/04,0.5,2.3,342.5005,1.8,1.1851,0.128,0.3578,289,289,100,2.01509E+12,1.2
MCD15A2H,Lai_500m,A2004145,5/24/04,0.5,2.3,361.6002,1.8,1.2512,0.1377,0.371,289,289,100,2.01509E+12,1.4
MCD15A2H,Lai_500m,A2004153,6/1/04,0.6,2.2,401.0998,1.6,1.3879,0.1537,0.392,289,289,100,2.01509E+12,1.4
MCD15A2H,Lai_500m,A2004161,6/9/04,0.5,2.6,385.1,2.1,1.3325,0.1893,0.435,289,289,100,2.01509E+12,1.5
MCD15A2H,Lai_500m,A2004169,6/17/04,0.5,5.9,393.1003,5.4,1.3602,0.2986,0.5464,289,289,100,2.01509E+12,1.3
MCD15A2H,Lai_500m,A2004177,6/25/04,0.5,4.1,372.1001,3.6,1.2875,0.1952,0.4418,289,289,100,2.01509E+12,1.3
MCD15A2H,Lai_500m,A2004185,7/3/04,0.6,3.8,414.2003,3.2,1.4332,0.2505,0.5005,289,289,100,2.01509E+12,1.6
MCD15A2H,Lai_500m,A2004193,7/11/04,0.5,3.6,433.0002,3.1,1.4983,0.3652,0.6043,289,289,100,2.01509E+12,1.3
MCD15A2H,Lai_500m,A2004201,7/19/04,0.2,4.2,330.2,4,1.1835,0.2348,0.4845,289,279,96.54,2.01509E+12,0.5
MCD15A2H,Lai_500m,A2004209,7/27/04,0.2,3.1,377.8003,2.9,1.3541,0.3099,0.5567,289,279,96.54,2.01509E+12,1
MCD15A2H,Lai_500m,A2004217,8/4/04,0.4,5.6,431.7999,5.2,1.4993,0.2751,0.5245,289,288,99.65,2.01509E+12,3
MCD15A2H,Lai_500m,A2004225,8/12/04,0.2,2.4,391.2001,2.2,1.3971,0.1488,0.3857,289,280,96.89,2.01509E+12,F
MCD15A2H,Lai_500m,A2004233,8/20/04,0.9,3.4,489.0999,2.5,1.6924,0.1248,0.3533,289,289,100,2.01509E+12,1.6
MCD15A2H,Lai_500m,A2004241,8/28/04,0.4,4.5,470.3999,4.1,1.6448,0.2093,0.4574,289,286,98.96,2.01509E+12,2.3
MCD15A2H,Lai_500m,A2004249,9/5/04,0.9,3.3,468.5001,2.4,1.6211,0.2051,0.4529,289,289,100,2.01509E+12,1.4
MCD15A2H,Lai_500m,A2004257,9/13/04,0.7,3,397.6,2.3,1.3758,0.2091,0.4573,289,289,100,2.01509E+12,1.5
MCD15A2H,Lai_500m,A2004265,9/21/04,0.7,3.9,375.5998,3.2,1.2997,0.2034,0.4509,289,289,100,2.01509E+12,1.4
MCD15A2H,Lai_500m,A2004273,9/29/04,0.3,3.4,300.8,3.1,1.0481,0.1652,0.4065,289,287,99.31,2.01509E+12,1.2
MCD15A2H,Lai_500m,A2004281,10/7/04,0.6,2,297.8001,1.4,1.0305,0.0876,0.2959,289,289,100,2.0151E+12,1.3
MCD15A2H,Lai_500m,A2004289,10/15/04,0.3,2,262.9,1.7,0.9097,0.0729,0.27,289,289,100,2.0151E+12,1.3
MCD15A2H,Lai_500m,A2004297,10/23/04,0.3,1.5,230.3999,1.2,0.7972,0.0862,0.2936,289,289,100,2.0151E+12,1.2
MCD15A2H,Lai_500m,A2004305,10/31/04,0.3,1.4,223.5,1.1,0.7734,0.1069,0.3269,289,289,100,2.0151E+12,0.9
MCD15A2H,Lai_500m,A2004313,11/8/04,0.2,1.4,170.6002,1.2,0.5903,0.0861,0.2935,289,289,100,2.0151E+12,0.6
MCD15A2H,Lai_500m,A2004321,11/16/04,0.1,1.6,202.1002,1.5,0.6993,0.1233,0.3511,289,289,100,2.0151E+12,1
