product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.2,4.2,323.0999,4,1.272,0.5467,0.7394,289,254,87.89,2.01515E+12,2.8
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,5.6,426.7,5.4,1.492,0.7376,0.8588,289,286,98.96,2.01515E+12,1.2
MCD15A2H,Lai_500m,A2002201,7/20/02,0.5,3.9,414.3002,3.4,1.4903,0.2588,0.5087,289,278,96.19,2.01515E+12,1.7
MCD15A2H,Lai_500m,A2002209,7/28/02,0.5,3.1,431.0998,2.6,1.5287,0.2094,0.4576,289,282,97.58,2.01515E+12,1.8
MCD15A2H,Lai_500m,A2002217,8/5/02,0.8,3.8,478.2,3,1.6547,0.1828,0.4276,289,289,100,2.01515E+12,2
MCD15A2H,Lai_500m,A2002225,8/13/02,0.9,3.1,466.7,2.2,1.6149,0.1555,0.3944,289,289,100,2.01515E+12,1.8
MCD15A2H,Lai_500m,A2002233,8/21/02,0.8,4.1,457.1001,3.3,1.5817,0.2153,0.464,289,289,100,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002241,8/29/02,0.3,4.6,439.0001,4.3,1.519,0.2451,0.495,289,289,100,2.01515E+12,2.2
MCD15A2H,Lai_500m,A2002249,9/6/02,0.1,5,310.7999,4.9,1.1817,0.3729,0.6107,289,263,91,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002257,9/14/02,0.6,3.8,433.4998,3.2,1.5,0.2911,0.5396,289,289,100,2.01515E+12,2.4
MCD15A2H,Lai_500m,A2002265,9/22/02,0.7,2.7,426.5001,2,1.4758,0.1713,0.4139,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002273,9/30/02,0.7,2.4,410.5999,1.7,1.4208,0.1419,0.3767,289,289,100,2.01515E+12,1.9
MCD15A2H,Lai_500m,A2002281,10/8/02,0.6,2.3,357.9003,1.7,1.2384,0.0997,0.3157,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002289,10/16/02,0.5,2.2,306.6005,1.7,1.0609,0.0923,0.3038,289,289,100,2.01515E+12,1.8
MCD15A2H,Lai_500m,A2002297,10/24/02,0.2,2.7,279.9,2.5,0.9685,0.133,0.3646,289,289,100,2.01515E+12,2
MCD15A2H,Lai_500m,A2002305,11/1/02,0.3,1.6,256.3999,1.3,0.8872,0.0646,0.2543,289,289,100,2.01515E+12,1.1
MCD15A2H,Lai_500m,A2002313,11/9/02,0.1,1.5,233.7,1.4,0.8087,0.0845,0.2907,289,289,100,2.01515E+12,1.1
MCD15A2H,Lai_500m,A2002321,11/17/02,0.3,1.7,285.8999,1.4,0.9893,0.0883,0.2971,289,289,100,2.01515E+12,1.3
MCD15A2H,Lai_500m,A2002329,11/25/02,0.3,2,282.1002,1.7,0.9761,0.0683,0.2613,289,289,100,2.01515E+12,1.2
