product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.2,3.8,391.8999,3.6,1.3897,0.3796,0.6162,289,282,97.58,2.01515E+12,1
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,4.8,348.7998,4.6,1.2502,0.4508,0.6714,289,279,96.54,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002201,7/20/02,0.6,5.1,506.7,4.5,1.7533,0.2774,0.5267,289,289,100,2.01515E+12,1.8
MCD15A2H,Lai_500m,A2002209,7/28/02,0.2,2.3,294.5001,2.1,1.103,0.2288,0.4783,289,267,92.39,2.01515E+12,1.1
MCD15A2H,Lai_500m,A2002217,8/5/02,0.9,3.4,544.0999,2.5,1.8827,0.1344,0.3666,289,289,100,2.01515E+12,1.8
MCD15A2H,Lai_500m,A2002225,8/13/02,0.9,3,493.6999,2.1,1.7083,0.1361,0.3689,289,289,100,2.01515E+12,1.9
MCD15A2H,Lai_500m,A2002233,8/21/02,0.9,5.6,490.9998,4.7,1.699,0.2598,0.5097,289,289,100,2.01515E+12,1.9
MCD15A2H,Lai_500m,A2002241,8/29/02,0.2,3.6,435.9999,3.4,1.5298,0.3642,0.6035,289,285,98.62,2.01515E+12,1.8
MCD15A2H,Lai_500m,A2002249,9/6/02,0.1,3.9,285.9001,3.8,1.1962,0.5061,0.7114,289,239,82.7,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002257,9/14/02,0.6,3.8,464.9,3.2,1.6087,0.227,0.4765,289,289,100,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002265,9/22/02,0.8,4.8,513.4,4,1.7765,0.3989,0.6316,289,289,100,2.01515E+12,1.7
MCD15A2H,Lai_500m,A2002273,9/30/02,0.7,4.4,452.8997,3.7,1.5671,0.313,0.5595,289,289,100,2.01515E+12,1.5
MCD15A2H,Lai_500m,A2002281,10/8/02,0.6,2.2,364.0996,1.6,1.2599,0.092,0.3034,289,289,100,2.01515E+12,1.4
MCD15A2H,Lai_500m,A2002289,10/16/02,0.3,3.6,311.3001,3.3,1.0772,0.1136,0.337,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2002297,10/24/02,0.2,2.7,277.5999,2.5,0.9706,0.1354,0.3679,289,286,98.96,2.01515E+12,0.8
MCD15A2H,Lai_500m,A2002305,11/1/02,0.3,1.7,251,1.4,0.8685,0.0617,0.2485,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2002313,11/9/02,0.1,1.4,219.1999,1.3,0.7585,0.052,0.228,289,289,100,2.01515E+12,0.9
MCD15A2H,Lai_500m,A2002321,11/17/02,0.3,2.3,277.9999,2,0.9619,0.075,0.2738,289,289,100,2.01515E+12,1.1
MCD15A2H,Lai_500m,A2002329,11/25/02,0.3,2.1,279.5999,1.8,0.9675,0.0571,0.2389,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2002337,12/3/02,0.2,1,166.4999,0.8,0.5781,0.0306,0.1749,289,288,99.65,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002345,12/11/02,0.3,2.2,248.7001,1.9,0.8606,0.0763,0.2762,289,289,100,2.01515E+12,0.9
MCD15A2H,Lai_500m,A2002353,12/19/02,0.2,2.3,179.8001,2.1,0.661,0.075,0.2739,289,272,94.12,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002361,12/27/02,0.3,2,236.6001,1.7,0.8215,0.1095,0.331,289,288,99.65,2.01515E+12,0.8
MCD15A2H,Lai_500m,A2003001,1/1/03,0.3,2,243.3,1.7,0.8448,0.0878,0.2963,289,288,99.65,2.01515E+12,0.9
MCD15A2H,Lai_500m,A2003009,1/9/03,0.2,4.6,262.5,4.4,0.9115,0.2136,0.4622,289,288,99.65,2.01515E+12,0.9
MCD15A2H,Lai_500m,A2003017,1/17/03,0.3,1.8,256.5999,1.5,0.8879,0.062,0.2489,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2003025,1/25/03,0.3,1.5,249.6,1.2,0.8637,0.0441,0.21,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2003033,2/2/03,0.3,1.6,258.2999,1.3,0.8938,0.0537,0.2317,289,289,100,2.01515E+12,1
MCD15A2H,Lai_500m,A2003041,2/10/03,0.3,1.9,245.2,1.6,0.8484,0.0611,0.2472,289,289,100,2.01516E+12,1
MCD15A2H,Lai_500m,A2003049,2/18/03,0.1,1.2,139.1999,1.1,0.6187,0.054,0.2323,289,225,77.85,2.01516E+12,0.6
MCD15A2H,Lai_500m,A2003057,2/26/03,0.1,0.5,21.3,0.4,0.2152,0.008,0.0892,289,99,34.26,2.01516E+12,F
MCD15A2H,Lai_500m,A2003065,3/6/03,0.2,2.5,188.5,2.3,0.7195,0.0984,0.3136,289,262,90.66,2.01516E+12,0.7
MCD15A2H,Lai_500m,A2003073,3/14/03,0.1,1.3,118.3,1.2,0.6067,0.0829,0.2879,289,195,67.47,2.01516E+12,0.3
MCD15A2H,Lai_500m,A2003081,3/22/03,0.1,3,213.5001,2.9,0.7937,0.2129,0.4614,289,269,93.08,2.01516E+12,1
MCD15A2H,Lai_500m,A2003089,3/30/03,0.2,1.7,256.5001,1.5,0.9194,0.0807,0.2841,289,279,96.54,2.01516E+12,1.2
MCD15A2H,Lai_500m,A2003097,4/7/03,0.2,1.6,286.0001,1.4,0.9931,0.0874,0.2956,289,288,99.65,2.01516E+12,1.2
MCD15A2H,Lai_500m,A2003105,4/15/03,0.2,2.6,324.3999,2.4,1.1343,0.103,0.321,289,286,98.96,2.01516E+12,1.2
MCD15A2H,Lai_500m,A2003113,4/23/03,0.4,1.6,318.5,1.2,1.1215,0.0492,0.2217,289,284,98.27,2.01516E+12,1.3
MCD15A2H,Lai_500m,A2003121,5/1/03,0.3,1.8,343.7998,1.5,1.1896,0.0625,0.2499,289,289,100,2.01516E+12,1.2
MCD15A2H,Lai_500m,A2003129,5/9/03,0.6,1.8,338.7003,1.2,1.172,0.0272,0.1649,289,289,100,2.01516E+12,1.2
