product, band, modis_date, dt, value_min, value_max, value_sum, value_range, value_mean, value_variance, value_standard_deviation, pixels_total, pixels_pass_qa, pixels_pass_qa_per_cent, proc_date, value_center
MCD15A2H,Lai_500m,A2002185,7/4/02,0.2,1.4,119.8001,1.2,0.4145,0.0498,0.2232,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002193,7/12/02,0.2,1.6,125.0001,1.4,0.4325,0.0224,0.1497,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002201,7/20/02,0.3,1,148.2999,0.7,0.5131,0.0183,0.1353,289,289,100,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2002209,7/28/02,0.2,1.1,163.0999,0.9,0.5644,0.0222,0.1491,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002217,8/5/02,0.4,1.1,206.7999,0.7,0.7156,0.0176,0.1326,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002225,8/13/02,0.5,1.1,193.6,0.6,0.6699,0.0142,0.1192,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002233,8/21/02,0.3,1.1,170.3999,0.8,0.5896,0.011,0.105,289,289,100,2.01515E+12,0.7
MCD15A2H,Lai_500m,A2002241,8/29/02,0.4,1.2,176.9999,0.8,0.6125,0.0097,0.0983,289,289,100,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2002249,9/6/02,0.3,1.4,154.2,1.1,0.5336,0.0157,0.1251,289,289,100,2.01515E+12,0.6
MCD15A2H,Lai_500m,A2002257,9/14/02,0.4,1.4,159.9,1,0.5533,0.0087,0.0934,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002265,9/22/02,0.4,0.7,157.1001,0.3,0.5436,0.0034,0.058,289,289,100,2.01515E+12,0.5
MCD15A2H,Lai_500m,A2002273,9/30/02,0.4,1,151.5,0.6,0.5242,0.0074,0.0863,289,289,100,2.01515E+12,0.4
