"date","year","month","day","month_name","water_year","ET","GPP","VPD","P","Tair","PA","RH","PPFD_IN","S","Tsoil","ws","LAI_mod","WUE","Sim_E_ratio","Sim_T_ratio","Sim_E_total","Sim_T","Sim_ET","Z","h","fc","fclay","fsand","P_acc","Season","E4.5","E3.5","pair","Bowen","alpha","gamma","Ri","rah_unstable","rah","rss","es","ea","Pa","Tsnow","es_snow","Eint","Esnow","E","block","B_ET","B_ET.mu","SD_ET","SE_ET","B_E","SD_E","SE_E","B_T","SD_T","SE_T"
2016-10-01,2016,10,1,"October",2017,1.64808155266077,4.7973798083178,0.760170204166666,0,11.0480127083333,73.2336004166667,44.0479979166667,24087.7036344,0.0924299761747285,11.8361337013889,2.51501254395833,1.46255,NA,0.464639716608592,0.535360283391412,0.521585623127225,0.600973651259139,1.12255927438636,23.6,3000,0.141555947,0.1785488203,0.796374069,0,"Fall",0.0743191102941951,0.03952074234797,0.897676166331714,0.534542705301359,0.984152350447234,52.0967309812304,13.05061874739,34.7169151530006,34.7169151530006,87.4163953189553,13.8759568718255,5.80149178535067,73233.6004166667,11.4420732048611,13.5193534294975,0,0,0.0743191102941951,1,1.98387987138487,1.98290046100568,0.188126480217375,0.000926093248723548,0.0157191063160507,0.00965882866329044,0.000131855733717537,1.96816076506882,0.188321130111716,0.000929525076543733
2016-10-02,2016,10,2,"October",2017,1.79551090571456,3.97514871307026,0.859136927708333,0,11.7779310416667,73.1047360416667,39.3746208333333,18937.42313427,0.0889419765419126,11.4621586666667,2.18540687520833,1.434475,NA,0.0432463147885263,0.956753685211473,0.0261394505622113,0.578292411205265,0.604431861767477,23.6,3000,0.141555947,0.1785488203,0.796374069,0,"Fall",0.00136749508951138,0.00267666189408315,0.893800995663834,0.484617357281989,0.97963175807478,52.0050597723967,-6.49595786345074,NA,1702.56725068948,92.3216407252822,13.5373326494186,5.44266373086912,73104.7360416667,11.6200448541667,13.6793967057395,0,0,0.00136749508951138,1,1.63247016895056,1.63192733893434,0.156006844251065,0.000769704814797977,0.00163582916913845,0.000978532012838383,1.36331329552493e-05,1.63083433978142,0.15604445091247,0.000770212190701034
2016-10-03,2016,10,3,"October",2017,2.65959097940811,3.01946426329626,0.618826996666667,4.064,8.83295520833333,72.465074375,46.8469041666666,18928.1897088,0.0870587855956101,11.6578374027778,4.20046214791667,1.4064,NA,0.659755402943573,0.340244597056426,0.991461966298848,0.51131006387374,1.50277203017259,23.6,3000,0.141555947,0.1785488203,0.796374069,4.064,"Fall",0.154765645859131,0.0456301974272206,0.895233303380699,0.457999925929414,0.977377786836036,51.5500188952893,20.9750422862075,14.8630694040698,14.8630694040698,95.2060050460263,13.7135959626921,5.31950074505468,72465.074375,10.2453963055556,12.4853665960557,2.05232499617519,0,2.20709064203432,1,1.34409370144153,1.34403386248984,0.118688862465286,0.000583747985746839,0.105336018707426,0.0146041291546408,0.000168508638085169,1.2387576827341,0.118529060678079,0.000585041806695243
2016-10-04,2016,10,4,"October",2017,1.63464063852366,4.1009875005294,0.576543196458333,0,3.78128875,72.3734941860465,28.671525,17540.4510092,0.086464427503612,8.64924047222222,2.804727305625,1.378325,NA,0.542219337409047,0.457780662590953,0.492591009949953,0.415880849987321,0.908471859937274,23.6,3000,0.141555947,0.1785488203,0.796374069,4.064,"Fall",0.549103136859509,0.0535277341208899,0.910411760853054,0.449667083755578,0.968428827480989,51.4848708151734,189.377255128722,4.40809486817996,4.40809486817996,96.1541361486277,11.2148987007858,2.2979983525519,72373.4941860465,6.21526461111111,9.49655637134465,0,0,0.549103136859509,1,1.78884865761783,1.78742180439824,0.160973981193851,0.000791205640998494,0.106388018878065,0.016625388129096,0.000191834724810205,1.68246063873976,0.160984252140029,0.000794594314530861
2016-10-05,2016,10,5,"October",2017,1.27191515451241,3.81588335176698,0.670359461666667,0,6.879475625,72.61710875,34.2330083333333,24932.1453476,0.0853450132319935,7.96718811805556,2.829883675625,1.35025,NA,0.555809643824068,0.444190356175932,0.54621822181375,0.436525111057686,0.982743332871436,23.6,3000,0.141555947,0.1785488203,0.796374069,4.064,"Fall",0.0907310728240245,0.0365257653273084,0.903369766303092,0.434075674840939,0.963159896647172,51.6581727193429,22.846742955186,20.7497316297006,20.7497316297006,97.9921034950087,10.7077386252616,3.40300686938755,72617.10875,7.42333187152778,10.3179432278888,0,0,0.0907310728240245,1,1.57843517898206,1.57934672085535,0.149633873145398,0.000736352466833926,0.0129406388154521,0.00898359015702028,0.000111577870177941,1.56549454016661,0.149792489628045,0.00073935344007647
2016-10-06,2016,10,6,"October",2017,1.38420116274878,3.8932376319576,0.596260700208333,0,5.809854375,72.8586704166667,36.89655,24284.2891558,0.0842032103006794,8.42378134722222,3.78052080208333,1.322175,NA,0.568784425932734,0.431215574067266,0.526328869678818,0.399028516497334,0.925357386176152,23.6,3000,0.141555947,0.1785488203,0.796374069,4.064,"Fall",0.171783092085414,0.0409717915878997,0.909850167301542,0.418325245382128,0.962366946529499,51.8300142387016,36.4273536429686,11.0766746139676,11.0766746139676,99.9406569981622,11.0449580933367,3.40708242647682,72858.6704166667,7.11681786111111,10.1038182051071,0,0,0.171783092085414,1,1.61137123994571,1.6112064933744,0.152678390511641,0.000751217929783561,0.0141415307150751,0.00997830800467845,0.000121415360712445,1.59722970923064,0.152829031666935,0.000754341359750977
2016-10-07,2016,10,7,"October",2017,0.817200206946128,2.7479117337948,0.63147953,0,6.37720958333333,73.388821875,34.9208875,24495.14280822,0.0831570973950534,8.05591181944444,2.515208845,1.2941,NA,0.582055405099812,0.417944594900188,0.544247374070738,0.390796556974639,0.935043931045377,23.6,3000,0.141555947,0.1785488203,0.796374069,4.064,"Fall",0.130648065783899,0.0380388445600914,0.91461047727544,0.404044863293812,0.957815565865833,52.2071520244578,48.150140480978,13.5717311101693,13.5717311101693,101.795195881694,10.7725460757881,3.35352379535738,73388.821875,7.21656070138888,10.1730623445664,0,0,0.130648065783899,1,1.14040211319332,1.14008158952581,0.107825904227237,0.000530335358878024,0.0130508763889961,0.00931665048468494,0.000112202356480589,1.12735123680432,0.107869266939892,0.000532426650952759
2016-10-08,2016,10,8,"October",2017,1.24201340381902,2.0479199238846,0.249299577916667,7.62,7.153818125,73.4789639583333,75.02285625,7830.0204392,0.0827189145966605,7.53703565277778,1.92165526521739,1.2674125,NA,0.721971091687435,0.278028908312567,0.962116887092053,0.370508335953009,1.33262522304506,23.6,3000,0.141555947,0.1785488203,0.796374069,11.684,"Fall",0.0171886995778113,0.0116859767682794,0.913196747494209,0.39810911392369,0.953622041244989,52.2712770686832,16.7864628109333,38.0723951342166,38.0723951342166,102.592614933465,10.3983864811537,7.59940729527266,73478.9639583333,7.34542688888889,10.2631443163795,3.57666389532176,0,3.59385259489957,2,1.12257418641353,1.12057419058461,0.103236726770212,0.000535673914660476,0.15455704176118,0.0163977822627039,0.000122963789515083,0.968017144652353,0.102416804444519,0.000531000444722503
2016-10-09,2016,10,9,"October",2017,1.5827912918665,2.8556313063048,0.117533244375,2.032,6.56524416666667,73.3631870833333,88.4384729166667,10362.9136499,0.0951679067654274,8.20189598611111,2.21887414458333,1.240725,NA,0.732817290238311,0.267182709761689,0.961102476663135,0.350414717957895,1.31151719462103,23.6,3000,0.141555947,0.1785488203,0.796374069,13.716,"Fall",0.0593931419111977,0.0141694092386612,0.913676383800035,0.573991496533186,0.980697389846279,52.1889160120589,58.5925985118267,13.3145336292741,13.3145336292741,83.9165345317628,10.8799318346463,8.60360953785081,73363.1870833333,7.38357007638889,10.2899423413326,0.939293080868742,0,0.99868622277994,2,1.54149698506796,1.54215070533057,0.143645516325273,0.000744742105841303,0.191688317712656,0.02026717399925,0.000152295341277677,1.3498086673553,0.142810580458977,0.000740430070495665
2016-10-10,2016,10,10,"October",2017,2.19589881215647,3.78836040463011,0.51510413125,0,9.92466791666667,73.3483135416667,60.32736875,22245.344006422,0.101688815488625,8.49883298611111,2.30797292145833,1.2140375,NA,0.625700388792638,0.374299611207362,0.60163004393188,0.359900513996645,0.961530557928525,23.6,3000,0.141555947,0.1785488203,0.796374069,13.716,"Fall",0.000223475603697797,0.000331235963971101,0.902650176889856,0.667045826364126,0.987231506668815,52.178335310106,-31.2100547589867,NA,6701.10141218716,76.6112657333269,11.1012747084356,7.37222241584288,73348.3135416667,9.21175045138889,11.648980968052,0,0,0.000223475603697797,2,1.82932220362274,1.82783011093726,0.189382751649898,0.000981085119912754,0.0386282516600327,0.0041062139922116,2.87539075574488e-05,1.7906939519627,0.189456512533164,0.000982275252155349
