"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE","SD_WUE","SE_WUE","B_WUE.wght","SD_WUE.wght","SE_WUE.wght"
1,2008,2009,1.95714023041703,13.6999816129192,4.33649285714286,30.35545,30.35545,0.5190875,0.955819586309522,0.116644450988544,13.3647632142857,12.1461525460677,19094.9337049282,NA,1.52554646847743,555.298914525784,10,"Fall",2.55781019833725,0.327692176263072,0.00252280051662909,5.0059932409368,0.641339541357368,0.00493747438441165
2,2008,2009,2.38359098734596,16.6851369114217,2.87527857142857,20.12695,50.4824,0.46745,0.669539544940477,0.122625194767928,11.5466691369047,10.4535598398132,16314.1531737,NA,1.52554646847743,555.298914525784,10,"Fall",2.41287043721546,0.281072725573592,0.00245505482258622,5.75129622778029,0.66996241546598,0.00585184654855676
3,2008,2009,2.38263479248359,16.6784435473852,4.94925428571429,34.64478,85.12718,0.4053125,0.715741999702381,0.1516676354589,11.2181420833334,10.1477107082417,18545.1315316349,NA,1.52554646847743,555.298914525784,10,"Fall",2.4054161585236,0.268937487496985,0.00239319814627458,5.73122822970057,0.640779814713439,0.00570211716862104
4,2008,2009,2.16689629415342,15.1682740590739,0,0,85.12718,0.357385714285714,0.784172467261906,0.1530006243689,8.421961875,7.54454826198591,18397.0711646071,NA,1.52554646847743,555.298914525784,10,"Fall",2.46100333850791,0.285928859145543,0.00270203036361395,5.33273901411198,0.619578185273993,0.0058550195816051
5,2008,2009,2.33995466268789,16.3796826388152,0,0,85.12718,0.334119642857143,1.02694098214286,0.126949164974419,13.2704485416667,12.0583483290286,16210.1202616161,NA,1.52554646847743,555.298914525784,10,"Fall",2.67584612936662,0.297308011149083,0.00306971799251651,6.26135862704676,0.69568726694276,0.00718300092972591
6,2008,2009,1.75232567653185,12.266279735723,0.0471357142857143,0.32995,85.45713,0.319796428571429,0.492072892857143,0.122289027951267,3.05060764880953,2.54397370477935,14147.4469686243,NA,1.52554646847743,555.298914525784,11,"Fall",2.9717120752399,0.315806874634242,0.00357342871911694,5.20740737270263,0.553396495246857,0.00626181089776494
7,2008,2009,1.92908235782788,13.5035765047951,0,0,85.45713,0.296251785714286,0.692520238095238,0.119172492009344,6.63886050595238,5.88453274941682,14948.0757907943,NA,1.52554646847743,555.298914525784,11,"Fall",3.12221081436455,0.345666142160472,0.00442969127890064,6.02300179941007,0.66681845654019,0.00854523929675124
8,2008,2009,1.31625885640366,9.2138119948256,0,0,85.45713,0.297216071428571,0.549784681547619,0.116339506845307,4.16580172619048,3.58218695508173,12143.5107524443,NA,1.52554646847743,555.298914525784,11,"Fall",3.19260926994106,0.380851662985676,0.00582138973803524,4.20230022659634,0.501299374380957,0.00766245579926626
9,2008,2009,1.57763722755173,11.0434605928621,0.83273,5.82911,91.28624,0.279075,0.427238472678571,0.11528768532754,5.05994205357143,4.41460559354577,10803.3639666429,NA,1.52554646847743,555.298914525784,11,"Fall",3.20533325586647,0.412507124869506,0.00689502748835295,5.05685307116453,0.650786596824462,0.0108778520506181
10,2008,2009,1.15695476301248,8.09868334108736,1.68117571428571,11.76823,103.05447,0.2756,0.356875605654762,0.113199269037064,1.65064110119048,1.2406455673742,10572.0398465686,NA,1.52554646847743,555.298914525784,12,"Winter",3.2628544471422,0.4358589224214,0.00791383860401274,3.77497499363762,0.504269056296926,0.00915595326662455
11,2008,2009,0.746967091940114,5.2287696435808,0.282814285714286,1.9797,105.03417,0.2844625,0.268524324404762,0.115554551121126,0.39102375,0.0679784497474529,9071.39632726714,NA,1.52554646847743,555.298914525784,12,"Winter",3.24858711843338,0.474928620832107,0.00924495752378556,2.4265876727703,0.354756050782088,0.00690567903665201
12,2008,2009,0.547865948057271,3.8350616364009,0.298524285714286,2.08967,107.12384,0.293903571428571,0.320662241071428,0.114460426269972,0.542818511904762,0.209294958086643,9177.50953728286,NA,1.52554646847743,555.298914525784,12,"Winter",3.27176938069149,0.498511629546813,0.0102459702307925,1.79249103357729,0.27311754653924,0.00561341819425977
13,2008,2009,0.469185842619311,3.28430089833517,0.282811428571429,1.97968,109.10352,0.320405357142857,0.303440235119048,0.111642519716597,-0.634051458333328,-0.886336754604716,11072.65422416,NA,1.52554646847743,555.298914525784,12,"Winter",3.32497843705571,0.508457170769536,0.0107890449421687,1.56003280968102,0.238560906103335,0.00506206714224907
14,2009,2009,0.786877869590774,5.50814508713542,0.0628471428571429,0.43993,109.54345,0.327701785714286,0.339954940330547,0.108529774090906,-0.275716518490375,-0.552737347885329,11576.0366182129,NA,1.52554646847743,555.298914525784,12,"Winter",3.38595586746174,0.506430358580889,0.0109801922064008,2.66433373951667,0.398498841656222,0.0086400702510699
15,2009,2009,0.661432689677829,4.6300288277448,0.864155714285714,6.04909,115.59254,0.297576785714286,0.352000008630952,0.106091925585364,0.552674851190475,0.218470923287189,13638.8361062039,NA,1.52554646847743,555.298914525784,1,"Winter",3.44586590130653,0.503187690761664,0.0107388164938807,2.27920835137029,0.332824787713263,0.00710300427750414
16,2009,2009,1.34111108631876,9.38777760423133,0,0,115.59254,0.289410714285714,0.606077973511905,0.104436131182771,4.41478354166667,3.81398178358261,14437.0458874143,NA,1.52554646847743,555.298914525784,1,"Winter",3.51068808282786,0.492396749290504,0.0102423468380603,4.7082227084876,0.660358739340815,0.0137361248944444
