"block","year","water_year","GPP_avg","GPP_total","P_avg","P_total","P_acc","LAI_mod","VPD","S","Tair","Tsoil","PPFD_IN","WUE","GPP_avg_yr","GPP_total_yr","month","Season","B_WUE","SD_WUE","SE_WUE","B_WUE.wght","SD_WUE.wght","SE_WUE.wght"
1,2007,2008,0.619447759252586,4.3361343147681,0.516428571428571,3.615,3.615,0.23255,1.33334830029762,0.0425954426311418,17.9155671428571,15.2025284557167,16415.2052309661,NA,0.514749538073209,187.368831858648,10,"Fall",1.64363034152443,0.493833191262352,0.00984303222801195,1.01814313209687,0.305903863772018,0.006097244257893
2,2007,2008,0.394012300415765,2.75808610291036,0.0455714285714286,0.319,3.934,0.2181625,1.49328637976191,0.037593585171375,17.5752847321428,14.9153305262575,18929.1420202214,NA,0.514749538073209,187.368831858648,10,"Fall",1.67485227174322,0.478404086056142,0.0104954898294848,0.659912396446117,0.188497094475282,0.00413535209170559
3,2007,2008,0.34589224024694,2.42124568172858,0,0,3.934,0.210692857142857,1.30985901964286,0.0341142095962837,13.812524375,11.739565486407,17569.287376258,NA,0.514749538073209,187.368831858648,10,"Fall",1.72367309760968,0.471939011932658,0.0111810041600865,0.596205149185595,0.163240042097314,0.00386742257714266
4,2007,2008,0.236020631547752,1.65214442083426,0,0,3.934,0.205105357142857,1.18011339970238,0.0347450040251267,12.5066483035714,10.6374077138165,17670.2419662816,NA,0.514749538073209,187.368831858648,10,"Fall",1.74730772445453,0.481782181106375,0.0116946045226653,0.412400672634023,0.11371053465318,0.00276016794514072
5,2007,2008,0.263810211808076,1.84667148265653,0,0,3.934,0.194732142857143,1.17284076041667,0.0347450040251267,12.826353422619,10.9072384348204,16353.1818150385,NA,0.514749538073209,187.368831858648,10,"Fall",1.7657804415964,0.493591326923798,0.0128386449440384,0.465830912304103,0.130214432502396,0.00338696564201538
6,2007,2008,0.199776914681809,1.39843840277266,0,0,3.934,0.164789285714286,1.18747071636905,0.0347450040251267,12.8551002380952,10.9315007111631,13614.7581445432,NA,0.514749538073209,187.368831858648,11,"Fall",1.7642735043812,0.516193310629792,0.014799042846044,0.352461117360139,0.103123506977008,0.00295650712002655
7,2007,2008,0.21788785835875,1.52521500851125,0,0,3.934,0.160805357142857,0.964901894940477,0.0347450040251267,11.0349958928571,9.39533491800689,13498.8696785338,NA,0.514749538073209,187.368831858648,11,"Fall",1.75341541993516,0.539465915705748,0.0162184258511365,0.38204793066288,0.117543073030667,0.00353379807465422
8,2007,2008,0.111252046457006,0.77876432519904,0.774571428571429,5.422,9.356,0.1341125,0.635488808928571,0.0410876491883591,5.46273770833333,4.69235597281872,11720.2597657272,NA,0.514749538073209,187.368831858648,11,"Fall",1.72019771506506,0.578511979451653,0.0175130538858597,0.191375516111653,0.0643606416138896,0.00194836308451365
9,2007,2008,0.106736239362798,0.747153675539586,1.93584285714286,13.5509,22.9069,0.12595,0.425750317857143,0.0772692430002602,5.28344877976191,4.54103634112637,9515.39539435006,NA,0.514749538073209,187.368831858648,11,"Fall",1.68234684751884,0.62361617116568,0.0185860528614071,0.179567375808019,0.0665624449160516,0.00198380538702473
10,2007,2008,0.117359349633977,0.82151544743784,0.0774342857142857,0.54204,23.44894,0.128175,0.612316279166666,0.0773548092958735,7.94875238095238,6.79054925022792,11358.869145901,NA,0.514749538073209,187.368831858648,12,"Winter",1.68750202604532,0.636685200592359,0.0198390511415745,0.198044140282698,0.0747209610630976,0.00232829813933043
11,2007,2008,0.0242849314283143,0.1699945199982,1.74226285714286,12.19584,35.64478,0.115326785714286,0.184968103571429,0.096510639507382,-0.26828961309524,-0.14462392553468,9586.293415692,NA,0.514749538073209,187.368831858648,12,"Winter",1.70943452989325,0.644807878543921,0.01973427248908,0.0415135003396501,0.0156591151148759,0.000479245454184986
12,2007,2008,0.0950631350900246,0.665441945630172,0.116151428571429,0.81306,36.45784,0.110430357142857,0.39163772797619,0.0754199603850319,1.64545657738095,1.47057546799679,11250.10347903,NA,0.514749538073209,187.368831858648,12,"Winter",1.74278638822783,0.639031195931601,0.0200490461165574,0.165674737857158,0.0607483089055857,0.00190592517940445
13,2007,2008,0.0265299790238743,0.18570985316712,0.154868571428571,1.08408,37.54192,0.105239285714286,0.322113763690476,0.0698868713240415,-1.55838238095238,-1.23346060963211,10614.536641718,NA,0.514749538073209,187.368831858648,12,"Winter",1.78705464199331,0.628301801859997,0.0195466179224441,0.0474105221665997,0.0166688336240081,0.000518571363470123
14,2008,2008,0.0552000172507159,0.386400120755011,0.0387171428571429,0.27102,37.81294,0.102255357142857,0.434941952368288,0.0700410063817931,2.0583507693769,1.81905765012909,10855.4837585871,NA,0.514749538073209,187.368831858648,12,"Winter",1.8330453199026,0.612747012061072,0.0184116546003567,0.101184133279968,0.0338236456360958,0.00101632365155394
15,2008,2008,0.0877718549456486,0.61440298461954,0.0387171428571429,0.27102,38.08396,0.101491071428571,0.339487026190476,0.0682472809721853,0.982044761904763,0.910656724669535,12193.3537970873,NA,0.514749538073209,187.368831858648,1,"Winter",1.88334650976827,0.592017750748323,0.0172703342931856,0.165304816667774,0.0519624961439309,0.00151584927644431
16,2008,2008,0,0,0,0,38.08396,0.1023,0.332970413392857,0.0610896053087627,-3.29506613095238,-2.69921952464162,14203.6959439229,NA,0.514749538073209,187.368831858648,1,"Winter",1.93611018571099,0.571436211485633,0.0166149125032985,0,0,0
17,2008,2008,0.153828086181341,1.07679660326939,0,0,38.08396,0.110494642857143,0.471540052678571,0.0614792240844145,3.07750964285714,2.67922646590497,12217.2347543871,NA,0.514749538073209,187.368831858648,1,"Winter",1.98920978347992,0.541906541993114,0.0149512722962196,0.305996334005915,0.0833604462439492,0.00229992560330355
